"","data1.enrolled_at","data1.purchased_statement_at","data1.gender","data1.age_range","data1.highest_education_level","data1.employment_status","data1.employment_area"
"1",1,0,1,"middle age","medium","in work","traditional industries"
"2",1,0,1,"prime of life","ordinary","in work","Non-traditional industries"
"3",1,0,1,"middle age","medium","no job","traditional industries"
"4",1,0,1,"middle age","high","in work","Non-traditional industries"
"5",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"6",1,0,0,"middle age","ordinary","in work","traditional industries"
"7",1,0,0,"prime of life","medium","in work","traditional industries"
"8",1,0,0,"prime of life","medium","in work","traditional industries"
"9",1,0,1,"prime of life","medium","in work","traditional industries"
"10",1,1,0,"old age","medium","in work","traditional industries"
"11",1,0,0,"middle age","ordinary","in work","traditional industries"
"12",1,0,0,"old age","medium","retired","traditional industries"
"13",1,0,0,"prime of life","medium","in work","traditional industries"
"14",1,0,0,"young people","ordinary","no job","Non-traditional industries"
"15",1,0,0,"middle age","medium","in work","Non-traditional industries"
"16",1,0,0,"prime of life","medium","no job","traditional industries"
"17",1,0,1,"middle age","ordinary","retired","Non-traditional industries"
"18",1,0,1,"middle age","medium","in work","traditional industries"
"19",1,1,0,"prime of life","medium","in work","Non-traditional industries"
"20",1,0,1,"middle age","medium","in work","traditional industries"
"21",1,1,1,"prime of life","medium","in work","Non-traditional industries"
"22",1,0,1,"middle age","medium","in work","traditional industries"
"23",1,0,1,"prime of life","medium","in work","Non-traditional industries"
"24",1,0,1,"young people","ordinary","no job","Non-traditional industries"
"25",1,0,1,"prime of life","high","in work","traditional industries"
"26",1,0,1,"middle age","high","in work","traditional industries"
"27",1,0,0,"prime of life","medium","in work","traditional industries"
"28",1,0,1,"prime of life","high","no job","traditional industries"
"29",1,0,0,"middle age","high","in work","traditional industries"
"30",1,0,1,"prime of life","medium","in work","traditional industries"
"31",1,0,1,"middle age","medium","in work","traditional industries"
"32",1,0,0,"middle age","ordinary","retired","traditional industries"
"33",1,0,0,"young people","medium","in work","Non-traditional industries"
"34",1,0,0,"middle age","medium","in work","traditional industries"
