"","enrolled_at","unenrolled_at","fully_participated_at","purchased_statement_at","gender","country","age_range","highest_education_level","employment_status","employment_area","detected_country"
"2",1,1,0,0,1,"PE","46-55","university_degree","working_part_time","teaching_and_education","PE"
"11",1,1,1,0,1,"IT","36-45","secondary","working_full_time","accountancy_banking_and_finance","IT"
"14",1,1,0,0,1,"GB","56-65","university_degree","looking_for_work","transport_and_logistics","GB"
"31",1,1,0,0,1,"GB","46-55","tertiary","self_employed","it_and_information_services","GB"
"59",1,0,0,0,1,"UA","36-45","university_masters","working_full_time","it_and_information_services","UA"
"61",1,0,1,0,0,"GB","46-55","secondary","working_part_time","property_and_construction","GB"
"62",1,1,0,0,0,"GB","36-45","university_masters","working_part_time","retail_and_sales","GB"
"66",1,0,0,0,0,"GB","26-35","university_degree","working_full_time","business_consulting_and_management","GB"
"68",1,0,0,0,1,"PK","26-35","university_degree","self_employed","media_and_publishing","PK"
"73",1,0,1,1,0,"AU",">65","university_masters","working_full_time","teaching_and_education","AU"
"75",1,0,0,0,0,"GB","56-65","secondary","working_part_time","public_sector","ES"
"87",1,0,0,0,0,"GB",">65","university_degree","retired","charities_and_voluntary_work","GB"
"88",1,0,1,0,0,"IE","36-45","university_masters","working_full_time","charities_and_voluntary_work","IE"
"94",1,0,0,0,0,"GB","18-25","secondary","full_time_student","science_and_pharmaceuticals","GB"
"108",1,1,1,0,0,"GB","56-65","university_degree","working_full_time","science_and_pharmaceuticals","GB"
"110",1,1,0,0,0,"IT","26-35","university_degree","looking_for_work","environment_and_agriculture","IT"
"112",1,0,1,0,1,"GB","56-65","secondary","retired","it_and_information_services","GB"
"115",1,1,0,0,1,"GB","46-55","university_degree","working_full_time","transport_and_logistics","GB"
"118",1,0,1,1,0,"ID","26-35","university_degree","working_full_time","accountancy_banking_and_finance","ID"
"124",1,0,1,0,1,"NL","56-65","university_masters","self_employed","media_and_publishing","NL"
"143",1,0,1,1,1,"US","26-35","university_degree","working_full_time","it_and_information_services","US"
"172",1,0,1,0,1,"GB","46-55","university_degree","working_full_time","property_and_construction","GB"
